	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
6	8	100	8.2	5.4	-8.72	-13.64	-19.04	4.6873348939529995e-08
18	8	100	8.2	5.4	-8.72	-13.64	-18.77	7.873629892348e-08
30	8	100	8.2	5.4	-8.72	-13.64	-18.53	1.2951882590480002e-07
150	8	100	8.2	5.4	-8.72	-13.39	-19.04	2.937741202527e-08
162	8	100	8.2	5.4	-8.72	-13.39	-18.77	3.941657938965e-08
174	8	100	8.2	5.4	-8.72	-13.39	-18.53	5.5457089813670004e-08
186	8	100	8.2	5.4	-8.72	-13.39	-18.28	8.488494798707e-08
198	8	100	8.2	5.4	-8.72	-13.39	-18.03	1.3722991960829998e-07
294	8	100	8.2	5.4	-8.72	-13.13	-19.04	3.394960563262e-08
306	8	100	8.2	5.4	-8.72	-13.13	-18.77	3.909368492475e-08
318	8	100	8.2	5.4	-8.72	-13.13	-18.53	4.3738848419e-08
330	8	100	8.2	5.4	-8.72	-13.13	-18.28	5.250780644264e-08
342	8	100	8.2	5.4	-8.72	-13.13	-18.03	6.824909977445e-08
354	8	100	8.2	5.4	-8.72	-13.13	-17.77	9.781981858537e-08
366	8	100	8.2	5.4	-8.72	-13.13	-17.52	1.4895824122779999e-07
438	8	100	8.2	5.4	-8.72	-12.9	-19.04	3.394960563262e-08
450	8	100	8.2	5.4	-8.72	-12.9	-18.77	4.1767138375849996e-08
462	8	100	8.2	5.4	-8.72	-12.9	-18.53	5.021514342721e-08
474	8	100	8.2	5.4	-8.72	-12.9	-18.28	6.083703274111001e-08
486	8	100	8.2	5.4	-8.72	-12.9	-18.03	6.766370812861e-08
498	8	100	8.2	5.4	-8.72	-12.9	-17.77	7.76020035325e-08
510	8	100	8.2	5.4	-8.72	-12.9	-17.52	9.516518042268e-08
522	8	100	8.2	5.4	-8.72	-12.9	-17.26	1.282869163888e-07
582	8	100	8.2	5.4	-8.72	-12.65	-19.04	3.394960563262e-08
594	8	100	8.2	5.4	-8.72	-12.65	-18.77	4.1767138375849996e-08
606	8	100	8.2	5.4	-8.72	-12.65	-18.53	5.021514342721e-08
618	8	100	8.2	5.4	-8.72	-12.65	-18.28	6.083703274111001e-08
630	8	100	8.2	5.4	-8.72	-12.65	-18.03	7.370574430708999e-08
642	8	100	8.2	5.4	-8.72	-12.65	-17.77	8.998455568133e-08
654	8	100	8.2	5.4	-8.72	-12.65	-17.52	1.0901877033150001e-07
666	8	100	8.2	5.4	-8.72	-12.65	-17.26	1.2131634566260003e-07
678	8	100	8.2	5.4	-8.72	-12.65	-17.01	1.3892601063960002e-07
690	8	100	8.2	5.4	-8.72	-12.65	-16.76	1.709003293649e-07
726	8	100	8.2	5.4	-8.72	-12.4	-19.04	3.394960563262e-08
738	8	100	8.2	5.4	-8.72	-12.4	-18.77	4.1767138375849996e-08
750	8	100	8.2	5.4	-8.72	-12.4	-18.53	5.021514342721e-08
762	8	100	8.2	5.4	-8.72	-12.4	-18.28	6.083703274111001e-08
774	8	100	8.2	5.4	-8.72	-12.4	-18.03	7.370574430708999e-08
786	8	100	8.2	5.4	-8.72	-12.4	-17.77	8.998455568133e-08
798	8	100	8.2	5.4	-8.72	-12.4	-17.52	1.0901877033150001e-07
810	8	100	8.2	5.4	-8.72	-12.4	-17.26	1.3309688974319998e-07
822	8	100	8.2	5.4	-8.72	-12.4	-17.01	1.6125054628239998e-07
870	8	100	8.2	5.4	-8.72	-12.15	-19.04	3.394960563262e-08
882	8	100	8.2	5.4	-8.72	-12.15	-18.77	4.1767138375849996e-08
894	8	100	8.2	5.4	-8.72	-12.15	-18.53	5.021514342721e-08
906	8	100	8.2	5.4	-8.72	-12.15	-18.28	6.083703274111001e-08
918	8	100	8.2	5.4	-8.72	-12.15	-18.03	7.370574430708999e-08
930	8	100	8.2	5.4	-8.72	-12.15	-17.77	8.998455568133e-08
942	8	100	8.2	5.4	-8.72	-12.15	-17.52	1.0901877033150001e-07
954	8	100	8.2	5.4	-8.72	-12.15	-17.26	1.3309688974319998e-07
966	8	100	8.2	5.4	-8.72	-12.15	-17.01	1.6125054628239998e-07
1014	8	100	8.2	5.4	-8.72	-11.9	-19.04	3.394960563262e-08
1026	8	100	8.2	5.4	-8.72	-11.9	-18.77	4.1767138375849996e-08
1038	8	100	8.2	5.4	-8.72	-11.9	-18.53	5.021514342721e-08
1050	8	100	8.2	5.4	-8.72	-11.9	-18.28	6.083703274111001e-08
