	pH	DIC	#Pb(CO3)2-2	#PbCO3	#PbOH+	Cerrusite	Hydrocerrusite	Result
98	10	20	8.2	5.4	-8.72	-13.64	-17.01	1.7847631066e-07
110	10	20	8.2	5.4	-8.72	-13.64	-16.76	3.1202260347240005e-07
266	10	20	8.2	5.4	-8.72	-13.39	-16.5	1.8845418704020002e-07
278	10	20	8.2	5.4	-8.72	-13.39	-16.25	3.2447799468290007e-07
1826	10	20	8.2	5.4	-8.49	-13.64	-17.01	1.812458602529e-07
1838	10	20	8.2	5.4	-8.49	-13.64	-16.76	3.169462149038e-07
1994	10	20	8.2	5.4	-8.49	-13.39	-16.5	1.9128962635150002e-07
2006	10	20	8.2	5.4	-8.49	-13.39	-16.25	3.295176715533e-07
3554	10	20	8.2	5.4	-8.26	-13.64	-17.01	1.859492304127e-07
3566	10	20	8.2	5.4	-8.26	-13.64	-16.76	3.253077072192e-07
3722	10	20	8.2	5.4	-8.26	-13.39	-16.5	1.961048933136e-07
3734	10	20	8.2	5.4	-8.26	-13.39	-16.25	3.3807627122329995e-07
5282	10	20	8.2	5.4	-8.03	-13.64	-17.01	1.939366993458e-07
5294	10	20	8.2	5.4	-8.03	-13.64	-16.76	3.395075597805e-07
5450	10	20	8.2	5.4	-8.03	-13.39	-16.5	2.04282390299e-07
5462	10	20	8.2	5.4	-8.03	-13.39	-16.25	3.526108601576e-07
5606	10	20	8.2	5.4	-8.03	-13.13	-16.25	1.74571720753e-07
5750	10	20	8.2	5.4	-8.03	-12.9	-16.25	1.745717234717e-07
5894	10	20	8.2	5.4	-8.03	-12.65	-16.25	1.74571720753e-07
6038	10	20	8.2	5.4	-8.03	-12.4	-16.25	1.74571720753e-07
6182	10	20	8.2	5.4	-8.03	-12.15	-16.25	1.74571720753e-07
6326	10	20	8.2	5.4	-8.03	-11.9	-16.25	1.74571720753e-07
6470	10	20	8.2	5.4	-8.03	-11.65	-16.25	1.74571720753e-07
6614	10	20	8.2	5.4	-8.03	-11.41	-16.25	1.74571720753e-07
6758	10	20	8.2	5.4	-8.03	-11.16	-16.25	1.74571720753e-07
6902	10	20	8.2	5.4	-8.03	-10.91	-16.25	1.74571720753e-07
7010	10	20	8.2	5.4	-7.8	-13.64	-17.01	2.075013689544e-07
7022	10	20	8.2	5.4	-7.8	-13.64	-16.76	3.636223730414e-07
7178	10	20	8.2	5.4	-7.8	-13.39	-16.5	2.1816977389320003e-07
7190	10	20	8.2	5.4	-7.8	-13.39	-16.25	3.7729413750990005e-07
7334	10	20	8.2	5.4	-7.8	-13.13	-16.25	1.85669842886e-07
7478	10	20	8.2	5.4	-7.8	-12.9	-16.25	1.85669842886e-07
7622	10	20	8.2	5.4	-7.8	-12.65	-16.25	1.85669842886e-07
7766	10	20	8.2	5.4	-7.8	-12.4	-16.25	1.85669842886e-07
7910	10	20	8.2	5.4	-7.8	-12.15	-16.25	1.85669842886e-07
8054	10	20	8.2	5.4	-7.8	-11.9	-16.25	1.85669842886e-07
8198	10	20	8.2	5.4	-7.8	-11.65	-16.25	1.85669842886e-07
8342	10	20	8.2	5.4	-7.8	-11.41	-16.25	1.85669842886e-07
8486	10	20	8.2	5.4	-7.8	-11.16	-16.25	1.85669842886e-07
8630	10	20	8.2	5.4	-7.8	-10.91	-16.25	1.85669842886e-07
8738	10	20	8.2	5.4	-7.597	-13.64	-17.01	2.2716032584699998e-07
8750	10	20	8.2	5.4	-7.597	-13.64	-16.76	3.985714089183e-07
8906	10	20	8.2	5.4	-7.597	-13.39	-16.5	2.382964326342e-07
8918	10	20	8.2	5.4	-7.597	-13.39	-16.25	4.1306703526040003e-07
9062	10	20	8.2	5.4	-7.597	-13.13	-16.25	2.017539694875e-07
9206	10	20	8.2	5.4	-7.597	-12.9	-16.25	2.017539694875e-07
9350	10	20	8.2	5.4	-7.597	-12.65	-16.25	2.017539694875e-07
9494	10	20	8.2	5.4	-7.597	-12.4	-16.25	2.017539694875e-07
9638	10	20	8.2	5.4	-7.597	-12.15	-16.25	2.017539694875e-07
9782	10	20	8.2	5.4	-7.597	-11.9	-16.25	2.017539694875e-07
9926	10	20	8.2	5.4	-7.597	-11.65	-16.25	2.017539694875e-07
10070	10	20	8.2	5.4	-7.597	-11.41	-16.25	2.017539694875e-07
10214	10	20	8.2	5.4	-7.597	-11.16	-16.25	2.017539694875e-07
10358	10	20	8.2	5.4	-7.597	-10.91	-16.25	2.017539694875e-07
10466	10	20	8.2	5.4	-7.33	-13.64	-17.01	2.718747326765e-07
10478	10	20	8.2	5.4	-7.33	-13.64	-16.76	4.780632017863e-07
10634	10	20	8.2	5.4	-7.33	-13.39	-16.5	2.840746301527e-07
10646	10	20	8.2	5.4	-7.33	-13.39	-16.25	4.944327078788e-07
10778	10	20	8.2	5.4	-7.33	-13.13	-16.5	1.9672568666670001e-07
10790	10	20	8.2	5.4	-7.33	-13.13	-16.25	2.383369101791e-07
10922	10	20	8.2	5.4	-7.33	-12.9	-16.5	1.9672568666670001e-07
10934	10	20	8.2	5.4	-7.33	-12.9	-16.25	2.383369101791e-07
11066	10	20	8.2	5.4	-7.33	-12.65	-16.5	1.9672568666670001e-07
11078	10	20	8.2	5.4	-7.33	-12.65	-16.25	2.383369142323e-07
11210	10	20	8.2	5.4	-7.33	-12.4	-16.5	1.9672568666670001e-07
11222	10	20	8.2	5.4	-7.33	-12.4	-16.25	2.383369142323e-07
11354	10	20	8.2	5.4	-7.33	-12.15	-16.5	1.9672568666670001e-07
11366	10	20	8.2	5.4	-7.33	-12.15	-16.25	2.383369142323e-07
11498	10	20	8.2	5.4	-7.33	-11.9	-16.5	1.9672568666670001e-07
11510	10	20	8.2	5.4	-7.33	-11.9	-16.25	2.383369142323e-07
11642	10	20	8.2	5.4	-7.33	-11.65	-16.5	1.9672568666670001e-07
11654	10	20	8.2	5.4	-7.33	-11.65	-16.25	2.383369142323e-07
11786	10	20	8.2	5.4	-7.33	-11.41	-16.5	1.9672568666670001e-07
11798	10	20	8.2	5.4	-7.33	-11.41	-16.25	2.383369142323e-07
11930	10	20	8.2	5.4	-7.33	-11.16	-16.5	1.9672568666670001e-07
11942	10	20	8.2	5.4	-7.33	-11.16	-16.25	2.383369142323e-07
12074	10	20	8.2	5.4	-7.33	-10.91	-16.5	1.9672568666670001e-07
12086	10	20	8.2	5.4	-7.33	-10.91	-16.25	2.383369142323e-07
12182	10	20	8.2	5.4	-7.1	-13.64	-17.26	1.9454982951529998e-07
12194	10	20	8.2	5.4	-7.1	-13.64	-17.01	3.3985918341919997e-07
12350	10	20	8.2	5.4	-7.1	-13.39	-16.76	2.018592481543e-07
12362	10	20	8.2	5.4	-7.1	-13.39	-16.5	3.5367648473729997e-07
12494	10	20	8.2	5.4	-7.1	-13.13	-16.76	1.987427633652e-07
12506	10	20	8.2	5.4	-7.1	-13.13	-16.5	2.426355276207e-07
12518	10	20	8.2	5.4	-7.1	-13.13	-16.25	2.939568239141e-07
12638	10	20	8.2	5.4	-7.1	-12.9	-16.76	1.9874275986379999e-07
12650	10	20	8.2	5.4	-7.1	-12.9	-16.5	2.426355318843e-07
12662	10	20	8.2	5.4	-7.1	-12.9	-16.25	2.939568239141e-07
12782	10	20	8.2	5.4	-7.1	-12.65	-16.76	1.9874275986379999e-07
12794	10	20	8.2	5.4	-7.1	-12.65	-16.5	2.426355276207e-07
12806	10	20	8.2	5.4	-7.1	-12.65	-16.25	2.939568290538e-07
12926	10	20	8.2	5.4	-7.1	-12.4	-16.76	1.9874275986379999e-07
12938	10	20	8.2	5.4	-7.1	-12.4	-16.5	2.426355276207e-07
12950	10	20	8.2	5.4	-7.1	-12.4	-16.25	2.939568290538e-07
13070	10	20	8.2	5.4	-7.1	-12.15	-16.76	1.9874275986379999e-07
13082	10	20	8.2	5.4	-7.1	-12.15	-16.5	2.426355276207e-07
13094	10	20	8.2	5.4	-7.1	-12.15	-16.25	2.939568290538e-07
13214	10	20	8.2	5.4	-7.1	-11.9	-16.76	1.9874275986379999e-07
13226	10	20	8.2	5.4	-7.1	-11.9	-16.5	2.426355276207e-07
13238	10	20	8.2	5.4	-7.1	-11.9	-16.25	2.939568290538e-07
13358	10	20	8.2	5.4	-7.1	-11.65	-16.76	1.9874275986379999e-07
13370	10	20	8.2	5.4	-7.1	-11.65	-16.5	2.426355276207e-07
13382	10	20	8.2	5.4	-7.1	-11.65	-16.25	2.939568290538e-07
13502	10	20	8.2	5.4	-7.1	-11.41	-16.76	1.9874275986379999e-07
13514	10	20	8.2	5.4	-7.1	-11.41	-16.5	2.426355276207e-07
13526	10	20	8.2	5.4	-7.1	-11.41	-16.25	2.939568290538e-07
13646	10	20	8.2	5.4	-7.1	-11.16	-16.76	1.9874275986379999e-07
13658	10	20	8.2	5.4	-7.1	-11.16	-16.5	2.426355276207e-07
13670	10	20	8.2	5.4	-7.1	-11.16	-16.25	2.939568290538e-07
13790	10	20	8.2	5.4	-7.1	-10.91	-16.76	1.9874275986379999e-07
13802	10	20	8.2	5.4	-7.1	-10.91	-16.5	2.426355276207e-07
13814	10	20	8.2	5.4	-7.1	-10.91	-16.25	2.939568290538e-07
13910	10	20	8.2	5.4	-6.87	-13.64	-17.26	2.595077818109e-07
13922	10	20	8.2	5.4	-6.87	-13.64	-17.01	4.55313431841e-07
14054	10	20	8.2	5.4	-6.87	-13.39	-17.26	1.789129039515e-07
14066	10	20	8.2	5.4	-6.87	-13.39	-17.01	2.167562469302e-07
14078	10	20	8.2	5.4	-6.87	-13.39	-16.76	2.668852627151e-07
14090	10	20	8.2	5.4	-6.87	-13.39	-16.5	4.7187748276570004e-07
14198	10	20	8.2	5.4	-6.87	-13.13	-17.26	1.7891290066549999e-07
14210	10	20	8.2	5.4	-6.87	-13.13	-17.01	2.167562469302e-07
14222	10	20	8.2	5.4	-6.87	-13.13	-16.76	2.626037196192e-07
14234	10	20	8.2	5.4	-6.87	-13.13	-16.5	3.205991642242e-07
14246	10	20	8.2	5.4	-6.87	-13.13	-16.25	3.884093782618e-07
14342	10	20	8.2	5.4	-6.87	-12.9	-17.26	1.7891290066549999e-07
14354	10	20	8.2	5.4	-6.87	-12.9	-17.01	2.1675624295620003e-07
14366	10	20	8.2	5.4	-6.87	-12.9	-16.76	2.626037196192e-07
14378	10	20	8.2	5.4	-6.87	-12.9	-16.5	3.205991642242e-07
14390	10	20	8.2	5.4	-6.87	-12.9	-16.25	3.884093782618e-07
14486	10	20	8.2	5.4	-6.87	-12.65	-17.26	1.7891290066549999e-07
14498	10	20	8.2	5.4	-6.87	-12.65	-17.01	2.1675624295620003e-07
14510	10	20	8.2	5.4	-6.87	-12.65	-16.76	2.626037196192e-07
14522	10	20	8.2	5.4	-6.87	-12.65	-16.5	3.20599158376e-07
14534	10	20	8.2	5.4	-6.87	-12.65	-16.25	3.88409378333e-07
14630	10	20	8.2	5.4	-6.87	-12.4	-17.26	1.7891290066549999e-07
14642	10	20	8.2	5.4	-6.87	-12.4	-17.01	2.1675624295620003e-07
14654	10	20	8.2	5.4	-6.87	-12.4	-16.76	2.626037196192e-07
14666	10	20	8.2	5.4	-6.87	-12.4	-16.5	3.20599158376e-07
14678	10	20	8.2	5.4	-6.87	-12.4	-16.25	3.88409378333e-07
14774	10	20	8.2	5.4	-6.87	-12.15	-17.26	1.7891290066549999e-07
14786	10	20	8.2	5.4	-6.87	-12.15	-17.01	2.1675624295620003e-07
14798	10	20	8.2	5.4	-6.87	-12.15	-16.76	2.626037196192e-07
14810	10	20	8.2	5.4	-6.87	-12.15	-16.5	3.20599158376e-07
14822	10	20	8.2	5.4	-6.87	-12.15	-16.25	3.88409378333e-07
14918	10	20	8.2	5.4	-6.87	-11.9	-17.26	1.7891290066549999e-07
14930	10	20	8.2	5.4	-6.87	-11.9	-17.01	2.1675624295620003e-07
14942	10	20	8.2	5.4	-6.87	-11.9	-16.76	2.626037196192e-07
14954	10	20	8.2	5.4	-6.87	-11.9	-16.5	3.20599158376e-07
14966	10	20	8.2	5.4	-6.87	-11.9	-16.25	3.88409378333e-07
15062	10	20	8.2	5.4	-6.87	-11.65	-17.26	1.7891290066549999e-07
15074	10	20	8.2	5.4	-6.87	-11.65	-17.01	2.1675624295620003e-07
15086	10	20	8.2	5.4	-6.87	-11.65	-16.76	2.626037196192e-07
15098	10	20	8.2	5.4	-6.87	-11.65	-16.5	3.20599158376e-07
15110	10	20	8.2	5.4	-6.87	-11.65	-16.25	3.88409378333e-07
15206	10	20	8.2	5.4	-6.87	-11.41	-17.26	1.7891290066549999e-07
15218	10	20	8.2	5.4	-6.87	-11.41	-17.01	2.1675624295620003e-07
15230	10	20	8.2	5.4	-6.87	-11.41	-16.76	2.626037196192e-07
15242	10	20	8.2	5.4	-6.87	-11.41	-16.5	3.20599158376e-07
15254	10	20	8.2	5.4	-6.87	-11.41	-16.25	3.88409378333e-07
15350	10	20	8.2	5.4	-6.87	-11.16	-17.26	1.7891290066549999e-07
15362	10	20	8.2	5.4	-6.87	-11.16	-17.01	2.1675624295620003e-07
15374	10	20	8.2	5.4	-6.87	-11.16	-16.76	2.626037196192e-07
15386	10	20	8.2	5.4	-6.87	-11.16	-16.5	3.20599158376e-07
15398	10	20	8.2	5.4	-6.87	-11.16	-16.25	3.88409378333e-07
15494	10	20	8.2	5.4	-6.87	-10.91	-17.26	1.7891290066549999e-07
15506	10	20	8.2	5.4	-6.87	-10.91	-17.01	2.1675624295620003e-07
15518	10	20	8.2	5.4	-6.87	-10.91	-16.76	2.626037196192e-07
15530	10	20	8.2	5.4	-6.87	-10.91	-16.5	3.20599158376e-07
15542	10	20	8.2	5.4	-6.87	-10.91	-16.25	3.88409378333e-07
15626	10	20	8.2	5.4	-6.64	-13.64	-17.52	2.075930879185e-07
15638	10	20	8.2	5.4	-6.64	-13.64	-17.26	3.6982229056599997e-07
15770	10	20	8.2	5.4	-6.64	-13.39	-17.52	2.07069072384e-07
15782	10	20	8.2	5.4	-6.64	-13.39	-17.26	2.52800266881e-07
15794	10	20	8.2	5.4	-6.64	-13.39	-17.01	3.0627091582809995e-07
15806	10	20	8.2	5.4	-6.64	-13.39	-16.76	3.773153540871e-07
15914	10	20	8.2	5.4	-6.64	-13.13	-17.52	2.070690684476e-07
15926	10	20	8.2	5.4	-6.64	-13.13	-17.26	2.52800266881e-07
15938	10	20	8.2	5.4	-6.64	-13.13	-17.01	3.0627092164659997e-07
15950	10	20	8.2	5.4	-6.64	-13.13	-16.76	3.710504063762e-07
15962	10	20	8.2	5.4	-6.64	-13.13	-16.5	4.529932907022e-07
16058	10	20	8.2	5.4	-6.64	-12.9	-17.52	2.070690684476e-07
16070	10	20	8.2	5.4	-6.64	-12.9	-17.26	2.52800266881e-07
16082	10	20	8.2	5.4	-6.64	-12.9	-17.01	3.0627091582809995e-07
16094	10	20	8.2	5.4	-6.64	-12.9	-16.76	3.710504134162e-07
16106	10	20	8.2	5.4	-6.64	-12.9	-16.5	4.529932907022e-07
16202	10	20	8.2	5.4	-6.64	-12.65	-17.52	2.070690684476e-07
16214	10	20	8.2	5.4	-6.64	-12.65	-17.26	2.52800266881e-07
16226	10	20	8.2	5.4	-6.64	-12.65	-17.01	3.0627091582809995e-07
16238	10	20	8.2	5.4	-6.64	-12.65	-16.76	3.710504134162e-07
16250	10	20	8.2	5.4	-6.64	-12.65	-16.5	4.529932907022e-07
16346	10	20	8.2	5.4	-6.64	-12.4	-17.52	2.070690684476e-07
16358	10	20	8.2	5.4	-6.64	-12.4	-17.26	2.52800266881e-07
16370	10	20	8.2	5.4	-6.64	-12.4	-17.01	3.0627091582809995e-07
16382	10	20	8.2	5.4	-6.64	-12.4	-16.76	3.710504134162e-07
16394	10	20	8.2	5.4	-6.64	-12.4	-16.5	4.529932907022e-07
16490	10	20	8.2	5.4	-6.64	-12.15	-17.52	2.070690684476e-07
16502	10	20	8.2	5.4	-6.64	-12.15	-17.26	2.52800266881e-07
16514	10	20	8.2	5.4	-6.64	-12.15	-17.01	3.0627091582809995e-07
16526	10	20	8.2	5.4	-6.64	-12.15	-16.76	3.710504134162e-07
16538	10	20	8.2	5.4	-6.64	-12.15	-16.5	4.529932907022e-07
16634	10	20	8.2	5.4	-6.64	-11.9	-17.52	2.070690684476e-07
16646	10	20	8.2	5.4	-6.64	-11.9	-17.26	2.52800266881e-07
16658	10	20	8.2	5.4	-6.64	-11.9	-17.01	3.0627091582809995e-07
16670	10	20	8.2	5.4	-6.64	-11.9	-16.76	3.710504134162e-07
16682	10	20	8.2	5.4	-6.64	-11.9	-16.5	4.529932907022e-07
16778	10	20	8.2	5.4	-6.64	-11.65	-17.52	2.070690684476e-07
16790	10	20	8.2	5.4	-6.64	-11.65	-17.26	2.52800266881e-07
16802	10	20	8.2	5.4	-6.64	-11.65	-17.01	3.0627091582809995e-07
16814	10	20	8.2	5.4	-6.64	-11.65	-16.76	3.710504134162e-07
16826	10	20	8.2	5.4	-6.64	-11.65	-16.5	4.529932907022e-07
16922	10	20	8.2	5.4	-6.64	-11.41	-17.52	2.070690684476e-07
16934	10	20	8.2	5.4	-6.64	-11.41	-17.26	2.52800266881e-07
16946	10	20	8.2	5.4	-6.64	-11.41	-17.01	3.0627091582809995e-07
16958	10	20	8.2	5.4	-6.64	-11.41	-16.76	3.710504134162e-07
16970	10	20	8.2	5.4	-6.64	-11.41	-16.5	4.529932907022e-07
17066	10	20	8.2	5.4	-6.64	-11.16	-17.52	2.070690684476e-07
17078	10	20	8.2	5.4	-6.64	-11.16	-17.26	2.52800266881e-07
17090	10	20	8.2	5.4	-6.64	-11.16	-17.01	3.0627091582809995e-07
17102	10	20	8.2	5.4	-6.64	-11.16	-16.76	3.710504134162e-07
17114	10	20	8.2	5.4	-6.64	-11.16	-16.5	4.529932907022e-07
17210	10	20	8.2	5.4	-6.64	-10.91	-17.52	2.070690684476e-07
17222	10	20	8.2	5.4	-6.64	-10.91	-17.26	2.52800266881e-07
17234	10	20	8.2	5.4	-6.64	-10.91	-17.01	3.0627091582809995e-07
17246	10	20	8.2	5.4	-6.64	-10.91	-16.76	3.710504134162e-07
17258	10	20	8.2	5.4	-6.64	-10.91	-16.5	4.529932907022e-07
17330	10	20	8.2	5.4	-6.41	-13.64	-18.03	2.0948611352910002e-07
17342	10	20	8.2	5.4	-6.41	-13.64	-17.77	2.557509478454e-07
17354	10	20	8.2	5.4	-6.41	-13.64	-17.52	3.10658318855e-07
17474	10	20	8.2	5.4	-6.41	-13.39	-18.03	2.0948611352910002e-07
17486	10	20	8.2	5.4	-6.41	-13.39	-17.77	2.557509478454e-07
17498	10	20	8.2	5.4	-6.41	-13.39	-17.52	3.098454652e-07
17510	10	20	8.2	5.4	-6.41	-13.39	-17.26	3.7827263976940005e-07
17522	10	20	8.2	5.4	-6.41	-13.39	-17.01	4.582792785239e-07
17618	10	20	8.2	5.4	-6.41	-13.13	-18.03	2.0948611352910002e-07
17630	10	20	8.2	5.4	-6.41	-13.13	-17.77	2.557509478454e-07
17642	10	20	8.2	5.4	-6.41	-13.13	-17.52	3.098454652e-07
17654	10	20	8.2	5.4	-6.41	-13.13	-17.26	3.7827263976940005e-07
17666	10	20	8.2	5.4	-6.41	-13.13	-17.01	4.582792785453e-07
17762	10	20	8.2	5.4	-6.41	-12.9	-18.03	2.0948611352910002e-07
17774	10	20	8.2	5.4	-6.41	-12.9	-17.77	2.557509478454e-07
17786	10	20	8.2	5.4	-6.41	-12.9	-17.52	3.098454652e-07
17798	10	20	8.2	5.4	-6.41	-12.9	-17.26	3.7827263976940005e-07
17810	10	20	8.2	5.4	-6.41	-12.9	-17.01	4.582792785239e-07
17906	10	20	8.2	5.4	-6.41	-12.65	-18.03	2.0948611352910002e-07
17918	10	20	8.2	5.4	-6.41	-12.65	-17.77	2.557509478454e-07
17930	10	20	8.2	5.4	-6.41	-12.65	-17.52	3.098454652e-07
17942	10	20	8.2	5.4	-6.41	-12.65	-17.26	3.7827263976940005e-07
17954	10	20	8.2	5.4	-6.41	-12.65	-17.01	4.582792785239e-07
18050	10	20	8.2	5.4	-6.41	-12.4	-18.03	2.0948611352910002e-07
18062	10	20	8.2	5.4	-6.41	-12.4	-17.77	2.557509478454e-07
18074	10	20	8.2	5.4	-6.41	-12.4	-17.52	3.098454652e-07
18086	10	20	8.2	5.4	-6.41	-12.4	-17.26	3.7827263976940005e-07
18098	10	20	8.2	5.4	-6.41	-12.4	-17.01	4.582792785239e-07
18194	10	20	8.2	5.4	-6.41	-12.15	-18.03	2.0948611352910002e-07
18206	10	20	8.2	5.4	-6.41	-12.15	-17.77	2.557509478454e-07
18218	10	20	8.2	5.4	-6.41	-12.15	-17.52	3.098454652e-07
18230	10	20	8.2	5.4	-6.41	-12.15	-17.26	3.7827263976940005e-07
18242	10	20	8.2	5.4	-6.41	-12.15	-17.01	4.582792785239e-07
18338	10	20	8.2	5.4	-6.41	-11.9	-18.03	2.0948611352910002e-07
18350	10	20	8.2	5.4	-6.41	-11.9	-17.77	2.557509478454e-07
18362	10	20	8.2	5.4	-6.41	-11.9	-17.52	3.098454652e-07
18374	10	20	8.2	5.4	-6.41	-11.9	-17.26	3.7827263976940005e-07
18386	10	20	8.2	5.4	-6.41	-11.9	-17.01	4.582792785239e-07
18482	10	20	8.2	5.4	-6.41	-11.65	-18.03	2.0948611352910002e-07
18494	10	20	8.2	5.4	-6.41	-11.65	-17.77	2.557509478454e-07
18506	10	20	8.2	5.4	-6.41	-11.65	-17.52	3.098454652e-07
18518	10	20	8.2	5.4	-6.41	-11.65	-17.26	3.7827263976940005e-07
18530	10	20	8.2	5.4	-6.41	-11.65	-17.01	4.582792785239e-07
18626	10	20	8.2	5.4	-6.41	-11.41	-18.03	2.0948611352910002e-07
18638	10	20	8.2	5.4	-6.41	-11.41	-17.77	2.557509478454e-07
18650	10	20	8.2	5.4	-6.41	-11.41	-17.52	3.098454652e-07
18662	10	20	8.2	5.4	-6.41	-11.41	-17.26	3.7827263976940005e-07
18674	10	20	8.2	5.4	-6.41	-11.41	-17.01	4.582792785239e-07
18770	10	20	8.2	5.4	-6.41	-11.16	-18.03	2.0948611352910002e-07
18782	10	20	8.2	5.4	-6.41	-11.16	-17.77	2.557509478454e-07
18794	10	20	8.2	5.4	-6.41	-11.16	-17.52	3.098454652e-07
18806	10	20	8.2	5.4	-6.41	-11.16	-17.26	3.7827263976940005e-07
18818	10	20	8.2	5.4	-6.41	-11.16	-17.01	4.582792785239e-07
18914	10	20	8.2	5.4	-6.41	-10.91	-18.03	2.0948611352910002e-07
18926	10	20	8.2	5.4	-6.41	-10.91	-17.77	2.557509478454e-07
18938	10	20	8.2	5.4	-6.41	-10.91	-17.52	3.098454652e-07
18950	10	20	8.2	5.4	-6.41	-10.91	-17.26	3.7827263976940005e-07
18962	10	20	8.2	5.4	-6.41	-10.91	-17.01	4.582792785239e-07
19022	10	20	8.2	5.4	-6.18	-13.64	-18.77	1.855854554362e-07
19034	10	20	8.2	5.4	-6.18	-13.64	-18.53	2.2312078161020002e-07
19046	10	20	8.2	5.4	-6.18	-13.64	-18.28	2.703139350152e-07
19058	10	20	8.2	5.4	-6.18	-13.64	-18.03	3.2748831322559997e-07
19070	10	20	8.2	5.4	-6.18	-13.64	-17.77	3.9981117834479997e-07
19082	10	20	8.2	5.4	-6.18	-13.64	-17.52	4.856883811430999e-07
19166	10	20	8.2	5.4	-6.18	-13.39	-18.77	1.855854554362e-07
19178	10	20	8.2	5.4	-6.18	-13.39	-18.53	2.2312078161020002e-07
19190	10	20	8.2	5.4	-6.18	-13.39	-18.28	2.703139350152e-07
19202	10	20	8.2	5.4	-6.18	-13.39	-18.03	3.2748831322559997e-07
19214	10	20	8.2	5.4	-6.18	-13.39	-17.77	3.9981117834479997e-07
19226	10	20	8.2	5.4	-6.18	-13.39	-17.52	4.843724685127e-07
19310	10	20	8.2	5.4	-6.18	-13.13	-18.77	1.855854554362e-07
19322	10	20	8.2	5.4	-6.18	-13.13	-18.53	2.2312078161020002e-07
19334	10	20	8.2	5.4	-6.18	-13.13	-18.28	2.703139350152e-07
19346	10	20	8.2	5.4	-6.18	-13.13	-18.03	3.2748831322559997e-07
19358	10	20	8.2	5.4	-6.18	-13.13	-17.77	3.9981117834479997e-07
19370	10	20	8.2	5.4	-6.18	-13.13	-17.52	4.843724685127e-07
19454	10	20	8.2	5.4	-6.18	-12.9	-18.77	1.855854554362e-07
19466	10	20	8.2	5.4	-6.18	-12.9	-18.53	2.2312078161020002e-07
19478	10	20	8.2	5.4	-6.18	-12.9	-18.28	2.703139350152e-07
19490	10	20	8.2	5.4	-6.18	-12.9	-18.03	3.2748831322559997e-07
19502	10	20	8.2	5.4	-6.18	-12.9	-17.77	3.9981117834479997e-07
19514	10	20	8.2	5.4	-6.18	-12.9	-17.52	4.843724685127e-07
19598	10	20	8.2	5.4	-6.18	-12.65	-18.77	1.855854554362e-07
19610	10	20	8.2	5.4	-6.18	-12.65	-18.53	2.2312078161020002e-07
19622	10	20	8.2	5.4	-6.18	-12.65	-18.28	2.703139350152e-07
19634	10	20	8.2	5.4	-6.18	-12.65	-18.03	3.2748831322559997e-07
19646	10	20	8.2	5.4	-6.18	-12.65	-17.77	3.9981117834479997e-07
19658	10	20	8.2	5.4	-6.18	-12.65	-17.52	4.843724685127e-07
19742	10	20	8.2	5.4	-6.18	-12.4	-18.77	1.855854554362e-07
19754	10	20	8.2	5.4	-6.18	-12.4	-18.53	2.2312078161020002e-07
19766	10	20	8.2	5.4	-6.18	-12.4	-18.28	2.703139350152e-07
19778	10	20	8.2	5.4	-6.18	-12.4	-18.03	3.2748831322559997e-07
19790	10	20	8.2	5.4	-6.18	-12.4	-17.77	3.9981117834479997e-07
19802	10	20	8.2	5.4	-6.18	-12.4	-17.52	4.843724685127e-07
19886	10	20	8.2	5.4	-6.18	-12.15	-18.77	1.855854554362e-07
19898	10	20	8.2	5.4	-6.18	-12.15	-18.53	2.2312078161020002e-07
19910	10	20	8.2	5.4	-6.18	-12.15	-18.28	2.703139350152e-07
19922	10	20	8.2	5.4	-6.18	-12.15	-18.03	3.2748831322559997e-07
19934	10	20	8.2	5.4	-6.18	-12.15	-17.77	3.9981117834479997e-07
19946	10	20	8.2	5.4	-6.18	-12.15	-17.52	4.843724685127e-07
20030	10	20	8.2	5.4	-6.18	-11.9	-18.77	1.855854554362e-07
20042	10	20	8.2	5.4	-6.18	-11.9	-18.53	2.2312078161020002e-07
20054	10	20	8.2	5.4	-6.18	-11.9	-18.28	2.703139350152e-07
20066	10	20	8.2	5.4	-6.18	-11.9	-18.03	3.2748831322559997e-07
20078	10	20	8.2	5.4	-6.18	-11.9	-17.77	3.9981117834479997e-07
20090	10	20	8.2	5.4	-6.18	-11.9	-17.52	4.843724685127e-07
20174	10	20	8.2	5.4	-6.18	-11.65	-18.77	1.855854554362e-07
20186	10	20	8.2	5.4	-6.18	-11.65	-18.53	2.2312078161020002e-07
20198	10	20	8.2	5.4	-6.18	-11.65	-18.28	2.703139350152e-07
20210	10	20	8.2	5.4	-6.18	-11.65	-18.03	3.2748831322559997e-07
20222	10	20	8.2	5.4	-6.18	-11.65	-17.77	3.9981117834479997e-07
20234	10	20	8.2	5.4	-6.18	-11.65	-17.52	4.843724685127e-07
20318	10	20	8.2	5.4	-6.18	-11.41	-18.77	1.855854554362e-07
20330	10	20	8.2	5.4	-6.18	-11.41	-18.53	2.2312078161020002e-07
20342	10	20	8.2	5.4	-6.18	-11.41	-18.28	2.703139350152e-07
20354	10	20	8.2	5.4	-6.18	-11.41	-18.03	3.2748831322559997e-07
20366	10	20	8.2	5.4	-6.18	-11.41	-17.77	3.9981117834479997e-07
20378	10	20	8.2	5.4	-6.18	-11.41	-17.52	4.843724685127e-07
20462	10	20	8.2	5.4	-6.18	-11.16	-18.77	1.855854554362e-07
